title,author,preview
"지난해 중대재해 사상자 800명 육박..""중대재해법 개정해야""",kbc광주방송,지난해 전국적으로 600건이 넘는 중대재해가 발생해 800명 가까이 숨지거나 다친 것으로 나타났습니다. 국회 환경노동위원회 소속 …
전통시장 대형 화재 막아낸 시민영웅 2명에 표창 수여,kbc광주방송,전통시장 화재를 초기에 진화해 대형 재난으로 번지는 것을 막아낸 시민 영웅들에게 표창이 수여됐습니다. 목포소방서는 지난달 목포시 …
시장 상인 격려하는 이억원 차관,연합뉴스,"(서울=연합뉴스) 이억원 기획재정부 차관이 21일 충남 천안 중앙시장을 방문, 상인을 격려하고 있다. 2022.1.21 [기획재 …"
"이억원 차관, 물가 현장방문",연합뉴스,(서울=연합뉴스) 이억원 기획재정부 차관이 21일 물가 현장 방문차 충남 천안 중앙시장을 찾아 상인과 대화하고 있다. 2022. …
시장 상인 격려하는 이억원 차관,연합뉴스,"(서울=연합뉴스) 이억원 기획재정부 차관이 21일 충남 천안 중앙시장을 방문, 상인을 격려하고 있다. 2022.1.21 [기획재 …"
[영상]별빛 정원 (금남공원),연합뉴스,"S. Korean Bond Yields on Jan. 21, 2022 Today (%) Previous Session(%) Ch …"
"국립한글박물관 '훈민정음, 천년의 문자 계획' 전시",헤럴드경제,[헤럴드경제=증권부] 심텍홀딩스는 자회사 심텍이 공장신설에 1071억원을 투자하기로 결정했다고 21일 공시했다. 이는 자기자본대 …
[포토]'봉이 김선달' 논란 사과하는 정청래,kbc광주방송,광주 도심 공원에서 빛의 나비들을 테마로 별빛 정원이 모습을 드러냈습니다. 혼란스러운 요즘 미디어아트와 함께 시민들이 마음의 안 …
정부 사과 영상 불쾌감 표하며 떠나는 승려들,여성신문,"서울 용산구 국립한글박물관이 개관 8주년을 맞아 20일부터 '훈민정음, 천년의 문자 계획' 전을 열고 있다. '훈민정음, 천년의 …"
"""정청래 의원, 봉이 김선달 발언 파문""으로 열린 전국승려대회",아이뉴스24,국립공원 내 사찰 문화재 관람료 징수를 두고 '봉이 김선달'에 비유 논란을 일으킨 더불어민주당 정청래 의원이 21일 오후 여의도 …
'전국승려대회' 조계사 대웅전 앞에 모인 5000여명의 승려들,뉴시스,[서울=뉴시스] 박진희 기자 = 종교편향 근절과 한국불교 자주권 수호를 위한 '전국승려대회'에 참석한 승려들이 21일 서울 종로 …
"정부 ""이번주 오미크론 검출률 47.1%…다음주엔 우세종 될 것""",뉴시스,[서울=뉴시스] 박진희 기자 = 종교편향 근절과 한국불교 자주권 수호를 위한 '전국승려대회'에 참석한 승려들이 21일 서울 종로 …
송영길 사과 입장 발표 대한 찬반 의견 나누는 스님들,뉴시스,[서울=뉴시스] 박진희 기자 = 대한불교조계종 총무원장 원행스님을 비롯해 전국에서 모인 5000여명의 스님들이 21일 서울 종로 …
사무실 둘러보는 전해철 장관,SBS Biz,정부가 국내 코로나19 오미크론 변이 검출률이 50%를 넘어 우세종화할 것으로 예상되는 시점을 다음 주 중반께로 다소 늦췄습니다 …
여순사건 진상규명·희생자 명예회복위원회 사무실 둘러보는 전해철 장관,연합뉴스,(서울=연합뉴스) 임화영 기자 = 21일 오후 서울 종로구 조계사에서 열린 대규모 승려대회에서 참가자들이 더불어민주당 송영길 대 …
여순사건 진상규명·희생자 명예회복위원회 사무실 둘러보는 전해철 장관,뉴시스,[서울=뉴시스] 배훈식 기자 = 전해철 행정안전부 장관이 21일 서울 중구 정안빌딩에 마련된 여수·순천 10·19사건 진상규명및 …
여순사건 진상규명·희생자 명예회복위원회 현판식,뉴시스,[서울=뉴시스] 배훈식 기자 = 전해철 행정안전부 장관이 21일 서울 중구 정안빌딩에 마련된 여수·순천 10·19사건 진상규명및 …
여순사건 진상규명·희생자 명예회복위원회 현판식,뉴시스,[서울=뉴시스] 배훈식 기자 = 전해철 행정안전부 장관이 21일 서울 중구 정안빌딩에 마련된 여수·순천 10·19사건 진상규명및 …
