title,author,preview
[3보] 청주 에코프로비엠 공장서 큰불…'대응 2단계' 발령,연합뉴스,"소방 ""건물에 있던 4명 중 3명 구조·대피…1명은 고립 추정"" 베터리 소재 제조…""'펑' 소리와 함께 검은 연기 피어올라"" ( …"
'눈물처럼',연합뉴스,(광주=연합뉴스) 21일 오전 광주 북구 선별진료소에서 보건소 의료진의 페이스쉴드에 습기가 서려 있다. 2021.1.21 [광주 …
쌓여가는 검체,연합뉴스,(광주=연합뉴스) 21일 오전 광주 북구 선별진료소에서 보건소 의료진이 이날 채취한 검체를 옮기고 있다. 2021.1.21 [광 …
'눈물처럼',연합뉴스,(광주=연합뉴스) 21일 오전 광주 북구 선별진료소에서 보건소 의료진의 페이스쉴드에 습기가 서려 있다. 2021.1.21 [광주 …
"신한카드, 올해 첫 ESG 해외채권 발행 성공",더팩트,'무디스 A2' 등급 획득…업계 최고 신용등급에 따라 업계 최저 수준 금리로 발행 신한카드가 미화 4억달러(5년 만기)규모의 소 …
"'불교계 실언' 정청래, 조계사에 닿지 못한 ""참회"" [TF사진관]",더팩트,정청래 더불어민주당 의원이 21일 오후 서울 여의도 국회 소통관에서 '불교계 실언' 관련 기자회견을 열고 고개를 숙이고 있다.  …
코로나19 사망자도 '선 장례·후 화장' 가능해진다,SBS Biz,앞으로 코로나19 사망자도 유족이 먼저 장례를 치른 후 화장을 할 수 있도록 관련 장례 지침이 변경됩니다. 중앙방역대책본부(방대 …
"인텔, 삼성에 질세라…美 오하이오에 23조 투자",SBS Biz,미국 반도체 회사 인텔이 미국 오하이오주에 대규모 신공장을 설립합니다. 로이터는 소식통들을 인용해 인텔이 오하이오주 뉴 올버니에 …
"자가격리 위반 출근 강릉 신협 이사장, 처음 아니었다",조세일보,롯데지주는 21일 한국미니스톱 지분 100%를 인수하는 주식매매계약(SPA)을 체결했다고 밝혔다. 롯데는 이번 인수로 편의점 중 …
‘6·1지방선거’ 선거비용 제한액… 경기지사·경기교육감 44억1900만원,오마이뉴스,2020년에도 격리 통보받고도 출근... 고객 드나드는 영업장에서 칸막이 없이 업무 ▲ 강원 강릉시의 K신용협동조합 영업소 전경 …
PCR tests reserved for special groups in Omicron areas,프레시안,"경기도, 전국 17개 광역지자체 중 최다… 지난 선거보다 2억4200만원↑ 오는 6월 1일 치러지는 ‘제8회 전국동시지방선거’를 …"
'AAA' KT 회사채 수요예측 흥행…모집금액의 4배 몰려,코리아중앙데일리,"Starting next Wednesday, free polymerase chain reaction (PCR) tests for …"
"사천시, 2월2일까지 '설명절 특별방역대책' 추진",머니투데이,"[8200억원 모집…""신용등급·재무건전성·IR 덕분""] KT가 2000억원의 자금조달을 위해 진행한 회사채 발행 수요예측에 모집 …"
'눈물처럼',뉴시스,[남해=뉴시스] 차용현 기자 = 경남 사천시가 설 명절을 맞아 내달 2일까지 2주간 시민의 안전과 코로나19 확산방지를 위한 ‘ …
고단한 선별진료소,연합뉴스,(광주=연합뉴스) 21일 오전 광주 북구 선별진료소에서 보건소 의료진의 페이스쉴드에 습기가 서려 있다. 2021.1.21 [광주 …
바쁜 선별진료소,연합뉴스,(광주=연합뉴스) 21일 오전 광주 북구 선별진료소에서 보건소 의료진들이 검체를 채취하고 있다. 2021.1.21 [광주 북구청 …
"신한카드, 4억달러 규모 '쇼셜 본드' 발행 성공",연합뉴스,(광주=연합뉴스) 21일 오전 광주 북구 선별진료소에서 보건소 의료진이 방문자들을 안내하고 있다. 2021.1.21 [광주 북구 …
'눈물처럼',연합뉴스,(서울=연합뉴스) 심재훈 기자 = 신한카드는 4억 달러(5년 만기) 규모의 소셜 본드를 공모 형태로 발행했다고 21일 밝혔다.  …
