apartment_Name,apartment_Num,date,deposit,dong_Name,dong_Num,floor,monthly,price,pyeongName,type_List
개포래미안포레스트,119219,"('2021', 10, '13')",,개포동,1168010300,5,,185000,74,A1
개포래미안포레스트,119219,"('2021', 6, '15')",,개포동,1168010300,6,,185000,74,A1
개포래미안포레스트,119219,"('2021', 5, '22')",,개포동,1168010300,7,,180000,74,A1
개포래미안포레스트,119219,"('2019', 7, '11')",,개포동,1168010300,6,,113446,74,A1
개포래미안포레스트,119219,"('2019', 6, '4')",,개포동,1168010300,9,,109954,74,A1
개포래미안포레스트,119219,"('2019', 6, '4')",,개포동,1168010300,9,,115000,74,A1
개포래미안포레스트,119219,"('2021', 10, '25')",,개포동,1168010300,5,,100000,74,B1
개포래미안포레스트,119219,"('2021', 7, '26')",,개포동,1168010300,9,,105000,74,B1
개포래미안포레스트,119219,"('2021', 5, '28')",,개포동,1168010300,5,,95000,74,B1
개포래미안포레스트,119219,"('2021', 1, '16')",,개포동,1168010300,7,,100000,74,B1
개포래미안포레스트,119219,"('2021', 1, '5')",,개포동,1168010300,7,,90000,74,B1
개포래미안포레스트,119219,"('2022', 1, '8')",50000,개포동,1168010300,5,140,,74,B2
개포래미안포레스트,119219,"('2021', 12, '8')",19840,개포동,1168010300,3,69,,74,B2
개포래미안포레스트,119219,"('2021', 12, '7')",19840,개포동,1168010300,3,69,,74,B2
개포래미안포레스트,119219,"('2021', 12, '6')",9920,개포동,1168010300,2,90,,74,B2
개포래미안포레스트,119219,"('2021', 12, '6')",19840,개포동,1168010300,2,69,,74,B2
개포래미안포레스트,119219,"('2021', 12, '2')",19840,개포동,1168010300,3,69,,74,B2
개포래미안포레스트,119219,"('2021', 12, '1')",19840,개포동,1168010300,3,69,,74,B2
개포래미안포레스트,119219,"('2021', 12, '1')",23720,개포동,1168010300,3,50,,74,B2
개포래미안포레스트,119219,"('2021', 10, '20')",,개포동,1168010300,15,,220000,86A,A1
개포래미안포레스트,119219,"('2021', 10, '9')",,개포동,1168010300,9,,224900,86A,A1
개포래미안포레스트,119219,"('2021', 9, '17')",,개포동,1168010300,8,,210000,86A,A1
개포래미안포레스트,119219,"('2021', 8, '21')",,개포동,1168010300,6,,199500,86A,A1
개포래미안포레스트,119219,"('2021', 6, '13')",,개포동,1168010300,5,,210000,86A,A1
개포래미안포레스트,119219,"('2021', 6, '13')",,개포동,1168010300,5,,210000,86A,A1
개포래미안포레스트,119219,"('2022', 1, '22')",,개포동,1168010300,8,,110000,86A,B1
개포래미안포레스트,119219,"('2022', 1, '21')",,개포동,1168010300,13,,117000,86A,B1
개포래미안포레스트,119219,"('2022', 1, '10')",,개포동,1168010300,18,,120000,86A,B1
개포래미안포레스트,119219,"('2022', 1, '4')",,개포동,1168010300,13,,110000,86A,B1
개포래미안포레스트,119219,"('2021', 12, '31')",,개포동,1168010300,4,,110000,86A,B1
개포래미안포레스트,119219,"('2021', 12, '30')",,개포동,1168010300,15,,108000,86A,B1
개포래미안포레스트,119219,"('2021', 12, '26')",,개포동,1168010300,10,,100000,86A,B1
